industry,region,last_updated_at,date,value,delta,all_industries_value
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2012-01-01,51561,-17.0,2056659.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2012-01-01,5197,98.0,5698390.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2012-01-01,14210,387.0,1191376.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2012-01-01,21261,236.0,1166505.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2012-01-01,12897,-203.0,911863.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2012-01-01,19175,-31.0,1786923.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2012-01-01,1451,13.0,110564.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2012-01-01,24297,256.0,1371935.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2012-01-01,26038,544.0,1909371.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2012-01-01,21866,161.0,2042333.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2012-01-01,26717,-173.0,1966827.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2012-01-01,20269,95.0,2910284.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2012-01-01,14321,-291.0,987557.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2012-04-01,51681,120.0,2054558.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2012-04-01,5286,89.0,5703810.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2012-04-01,13939,-271.0,1188633.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2012-04-01,21634,373.0,1164611.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2012-04-01,12766,-131.0,910277.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2012-04-01,18928,-247.0,1784537.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2012-04-01,1528,77.0,110617.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2012-04-01,23619,-678.0,1372560.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2012-04-01,25790,-248.0,1911733.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2012-04-01,21187,-679.0,2036758.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2012-04-01,26551,-166.0,1959972.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2012-04-01,19538,-731.0,2910422.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2012-04-01,14228,-93.0,983590.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2012-07-01,21966,-1653.0,1371374.0
